timestampe,open,high,low,close,volume,time
1574807760000,212.1,212.1,212.1,212.1,0.0,2019-11-26T22:36:00.000000Z
1574807820000,211.97,212.13,211.97,212.13,17.49485,2019-11-26T22:37:00.000000Z
1574807880000,212.14,212.14,212.14,212.14,0.06,2019-11-26T22:38:00.000000Z
1574807940000,212.23,212.44,212.23,212.33,4.09265,2019-11-26T22:39:00.000000Z
1574808000000,212.48,212.5,212.33,212.33,1.58957,2019-11-26T22:40:00.000000Z
1574808060000,212.46,212.5,212.46,212.5,2.81532,2019-11-26T22:41:00.000000Z
1574808120000,212.38,212.47,212.38,212.39,16.84996,2019-11-26T22:42:00.000000Z
1574808180000,212.39,212.39,212.17,212.17,147.78496,2019-11-26T22:43:00.000000Z
1574808240000,212.2,212.2,212.2,212.2,5.02979,2019-11-26T22:44:00.000000Z
1574808300000,212.2,212.33,212.2,212.33,25.43,2019-11-26T22:45:00.000000Z
1574808360000,212.32,212.32,212.17,212.17,2.37305,2019-11-26T22:46:00.000000Z
1574808420000,212.2,212.2,212.2,212.2,0.05184,2019-11-26T22:47:00.000000Z
1574808480000,212.14,212.14,212.14,212.14,1.60271,2019-11-26T22:48:00.000000Z
1574808540000,212.31,212.31,212.31,212.31,0.18817,2019-11-26T22:49:00.000000Z
1574808600000,212.31,212.31,212.31,212.31,0.0,2019-11-26T22:50:00.000000Z
1574808660000,212.18,212.18,212.18,212.18,0.23034,2019-11-26T22:51:00.000000Z
1574808720000,212.29,212.31,212.15,212.15,10.72941,2019-11-26T22:52:00.000000Z
1574808780000,212.15,212.27,211.98,211.98,55.78631,2019-11-26T22:53:00.000000Z
1574808840000,211.97,211.97,211.97,211.97,0.18858,2019-11-26T22:54:00.000000Z
1574808900000,212.16,212.3,212.16,212.3,15.86682,2019-11-26T22:55:00.000000Z
1574808960000,212.17,212.17,212.17,212.17,1.2227,2019-11-26T22:56:00.000000Z
1574809020000,212.23,212.38,212.23,212.38,1.855,2019-11-26T22:57:00.000000Z
1574809080000,212.37,212.38,212.37,212.38,7.29268,2019-11-26T22:58:00.000000Z
1574809140000,212.17,212.17,212.09,212.09,2.96841,2019-11-26T22:59:00.000000Z
1574809200000,212.15,212.15,212.11,212.11,2.53122,2019-11-26T23:00:00.000000Z
1574809260000,212.2,212.55,212.2,212.39,110.15079,2019-11-26T23:01:00.000000Z
1574809320000,212.48,212.55,212.42,212.42,2.18242,2019-11-26T23:02:00.000000Z
1574809380000,212.47,212.47,212.42,212.42,1.252,2019-11-26T23:03:00.000000Z
1574809440000,212.54,212.54,212.43,212.43,3.175,2019-11-26T23:04:00.000000Z
1574809500000,212.45,212.45,212.45,212.45,0.5957,2019-11-26T23:05:00.000000Z
1574809560000,212.55,212.73,212.55,212.64,10.34697,2019-11-26T23:06:00.000000Z
1574809620000,212.75,212.9,212.74,212.74,11.83419,2019-11-26T23:07:00.000000Z
1574809680000,212.93,212.98,212.93,212.98,15.0,2019-11-26T23:08:00.000000Z
1574809740000,212.72,212.72,212.6,212.69,8.03542,2019-11-26T23:09:00.000000Z
1574809800000,212.73,212.74,212.35,212.42,98.757,2019-11-26T23:10:00.000000Z
1574809860000,212.34,212.6,212.22,212.45,48.98055,2019-11-26T23:11:00.000000Z
1574809920000,212.52,212.52,212.42,212.42,0.23999,2019-11-26T23:12:00.000000Z
1574809980000,212.23,212.36,212.04,212.36,35.75607,2019-11-26T23:13:00.000000Z
1574810040000,212.09,212.2,212.08,212.08,12.60691,2019-11-26T23:14:00.000000Z
1574810100000,212.15,212.15,211.87,211.87,54.18118,2019-11-26T23:15:00.000000Z
1574810160000,211.97,212.04,211.97,212.04,9.35041,2019-11-26T23:16:00.000000Z
1574810220000,211.8,211.8,211.8,211.8,5.6562,2019-11-26T23:17:00.000000Z
1574810280000,211.8,211.8,211.6,211.62,16.55948,2019-11-26T23:18:00.000000Z
1574810340000,211.67,211.67,211.49,211.49,36.42322,2019-11-26T23:19:00.000000Z
1574810400000,211.49,211.57,211.37,211.55,35.52273,2019-11-26T23:20:00.000000Z
1574810460000,211.55,211.55,211.55,211.55,0.0,2019-11-26T23:21:00.000000Z
1574810520000,211.8,211.99,211.63,211.99,18.2317,2019-11-26T23:22:00.000000Z
1574810580000,211.88,212.0,211.88,212.0,4.037,2019-11-26T23:23:00.000000Z
1574810640000,211.99,212.0,211.93,212.0,4.15159,2019-11-26T23:24:00.000000Z
1574810700000,212.0,212.0,212.0,212.0,2.07926,2019-11-26T23:25:00.000000Z
1574810760000,212.08,212.08,211.92,211.97,29.18163,2019-11-26T23:26:00.000000Z
1574810820000,212.11,212.14,212.03,212.07,14.19324,2019-11-26T23:27:00.000000Z
1574810880000,212.17,212.24,212.02,212.24,7.55694,2019-11-26T23:28:00.000000Z
1574810940000,212.35,212.36,212.35,212.36,7.50766,2019-11-26T23:29:00.000000Z
1574811000000,212.43,212.78,212.38,212.52,97.48002,2019-11-26T23:30:00.000000Z
1574811060000,212.67,212.75,212.33,212.35,12.59887,2019-11-26T23:31:00.000000Z
1574811120000,212.29,212.31,212.14,212.24,22.19035,2019-11-26T23:32:00.000000Z
1574811180000,212.01,212.01,212.01,212.01,2.02335,2019-11-26T23:33:00.000000Z
1574811240000,211.95,211.95,211.64,211.68,37.85522,2019-11-26T23:34:00.000000Z
1574811300000,211.8,211.8,211.8,211.8,2.97701,2019-11-26T23:35:00.000000Z
1574811360000,211.56,211.59,211.56,211.59,4.74412,2019-11-26T23:36:00.000000Z
1574811420000,211.79,211.79,211.78,211.78,0.612,2019-11-26T23:37:00.000000Z
1574811480000,211.8,211.85,211.79,211.85,15.98259,2019-11-26T23:38:00.000000Z
1574811540000,211.84,211.84,211.69,211.83,26.40675,2019-11-26T23:39:00.000000Z
1574811600000,211.72,211.72,211.41,211.43,38.34927,2019-11-26T23:40:00.000000Z
1574811660000,211.53,211.53,211.42,211.49,12.7529,2019-11-26T23:41:00.000000Z
1574811720000,211.42,211.68,211.42,211.65,71.15191,2019-11-26T23:42:00.000000Z
1574811780000,211.65,211.65,211.65,211.65,0.0,2019-11-26T23:43:00.000000Z
1574811840000,211.92,211.92,211.91,211.91,8.0,2019-11-26T23:44:00.000000Z
1574811900000,211.96,211.96,211.69,211.83,29.93551,2019-11-26T23:45:00.000000Z
1574811960000,211.83,211.83,211.69,211.82,8.32669,2019-11-26T23:46:00.000000Z
1574812020000,211.7,211.83,211.7,211.83,14.56956,2019-11-26T23:47:00.000000Z
1574812080000,211.75,211.91,211.6,211.6,17.22209,2019-11-26T23:48:00.000000Z
1574812140000,211.55,211.55,211.22,211.22,100.06817,2019-11-26T23:49:00.000000Z
1574812200000,211.29,211.29,211.01,211.24,71.41702,2019-11-26T23:50:00.000000Z
1574812260000,211.51,211.51,211.49,211.49,2.233,2019-11-26T23:51:00.000000Z
1574812320000,211.54,211.57,211.36,211.48,14.19705,2019-11-26T23:52:00.000000Z
1574812380000,211.41,211.47,211.33,211.47,3.3118,2019-11-26T23:53:00.000000Z
1574812440000,211.51,211.51,211.29,211.4,23.84236,2019-11-26T23:54:00.000000Z
1574812500000,211.39,211.41,211.24,211.24,5.75319,2019-11-26T23:55:00.000000Z
1574812560000,211.11,211.11,211.01,211.04,11.09856,2019-11-26T23:56:00.000000Z
1574812620000,211.01,211.02,210.68,210.83,49.86908,2019-11-26T23:57:00.000000Z
1574812680000,210.79,210.79,210.68,210.75,30.46642,2019-11-26T23:58:00.000000Z
1574812740000,210.81,210.81,210.81,210.81,4.7188,2019-11-26T23:59:00.000000Z
1574812800000,210.78,210.8,210.41,210.5,54.0811,2019-11-27T00:00:00.000000Z
1574812860000,210.51,210.77,210.51,210.55,149.31821,2019-11-27T00:01:00.000000Z
1574812920000,210.55,210.7,210.53,210.68,19.71166,2019-11-27T00:02:00.000000Z
1574812980000,210.71,210.91,210.71,210.91,2.10037,2019-11-27T00:03:00.000000Z
1574813040000,210.96,211.23,210.96,211.06,65.96443,2019-11-27T00:04:00.000000Z
1574813100000,211.06,211.06,211.06,211.06,0.0,2019-11-27T00:05:00.000000Z
1574813160000,211.06,211.06,211.06,211.06,0.0,2019-11-27T00:06:00.000000Z
1574813220000,211.07,211.07,210.88,210.88,79.41547,2019-11-27T00:07:00.000000Z
1574813280000,210.88,210.96,210.77,210.96,21.71168,2019-11-27T00:08:00.000000Z
1574813340000,210.96,210.96,210.96,210.96,0.0,2019-11-27T00:09:00.000000Z
1574813400000,210.88,210.96,210.88,210.96,0.7444,2019-11-27T00:10:00.000000Z
1574813460000,210.82,210.82,210.68,210.77,12.11687,2019-11-27T00:11:00.000000Z
1574813520000,210.77,210.77,210.77,210.77,0.0,2019-11-27T00:12:00.000000Z
1574813580000,210.56,210.6,210.5,210.6,8.78094,2019-11-27T00:13:00.000000Z
1574813640000,210.61,210.74,210.61,210.74,8.84257,2019-11-27T00:14:00.000000Z
1574813700000,210.69,210.75,210.5,210.5,2.20294,2019-11-27T00:15:00.000000Z
1574813760000,210.67,210.67,210.55,210.55,1.13,2019-11-27T00:16:00.000000Z
1574813820000,210.52,210.52,210.51,210.51,1.01614,2019-11-27T00:17:00.000000Z
1574813880000,210.53,210.53,210.3,210.37,43.09136,2019-11-27T00:18:00.000000Z
1574813940000,210.37,210.37,210.24,210.31,77.91999,2019-11-27T00:19:00.000000Z
1574814000000,210.31,210.32,210.24,210.31,22.60033,2019-11-27T00:20:00.000000Z
1574814060000,210.27,210.3,210.23,210.3,7.80272,2019-11-27T00:21:00.000000Z
1574814120000,210.3,210.44,210.3,210.44,20.41514,2019-11-27T00:22:00.000000Z
1574814180000,210.4,210.4,210.34,210.34,1.16,2019-11-27T00:23:00.000000Z
1574814240000,210.3,210.43,210.3,210.43,7.04298,2019-11-27T00:24:00.000000Z
1574814300000,210.4,210.46,210.31,210.31,10.83507,2019-11-27T00:25:00.000000Z
1574814360000,210.3,210.3,210.16,210.16,9.67161,2019-11-27T00:26:00.000000Z
1574814420000,210.16,210.24,210.09,210.24,3.61982,2019-11-27T00:27:00.000000Z
1574814480000,210.09,210.17,209.88,210.17,72.15736,2019-11-27T00:28:00.000000Z
1574814540000,210.1,210.15,209.91,209.99,17.40786,2019-11-27T00:29:00.000000Z
1574814600000,210.1,210.1,209.99,209.99,2.18778,2019-11-27T00:30:00.000000Z
1574814660000,209.97,210.02,209.8,209.81,32.84564,2019-11-27T00:31:00.000000Z
1574814720000,209.8,209.86,209.73,209.84,14.2795,2019-11-27T00:32:00.000000Z
1574814780000,209.96,210.12,209.96,210.08,13.55004,2019-11-27T00:33:00.000000Z
1574814840000,210.08,210.08,210.08,210.08,0.0,2019-11-27T00:34:00.000000Z
1574814900000,210.36,210.64,210.36,210.64,21.3912,2019-11-27T00:35:00.000000Z
1574814960000,210.64,211.0,210.64,210.97,36.65273,2019-11-27T00:36:00.000000Z
1574815020000,210.75,210.83,210.75,210.83,0.89098,2019-11-27T00:37:00.000000Z
1574815080000,210.87,210.89,210.81,210.81,6.18602,2019-11-27T00:38:00.000000Z
1574815140000,210.88,210.88,210.88,210.88,0.06624,2019-11-27T00:39:00.000000Z
1574815200000,210.88,210.88,210.88,210.88,0.0,2019-11-27T00:40:00.000000Z
1574815260000,211.02,211.11,211.02,211.11,10.23705,2019-11-27T00:41:00.000000Z
1574815320000,211.22,211.27,211.22,211.26,9.94023,2019-11-27T00:42:00.000000Z
1574815380000,211.25,211.27,211.25,211.27,2.20546,2019-11-27T00:43:00.000000Z
1574815440000,211.15,211.18,211.05,211.17,24.10701,2019-11-27T00:44:00.000000Z
1574815500000,211.17,211.17,210.92,210.98,13.2703,2019-11-27T00:45:00.000000Z
1574815560000,210.97,210.97,210.97,210.97,0.5796,2019-11-27T00:46:00.000000Z
1574815620000,211.05,211.05,210.98,211.04,10.41103,2019-11-27T00:47:00.000000Z
1574815680000,211.05,211.07,210.98,211.04,29.78597,2019-11-27T00:48:00.000000Z
1574815740000,211.19,211.2,211.19,211.2,3.40004,2019-11-27T00:49:00.000000Z
1574815800000,211.25,211.25,211.19,211.2,11.75342,2019-11-27T00:50:00.000000Z
1574815860000,211.19,211.3,211.18,211.3,40.90313,2019-11-27T00:51:00.000000Z
1574815920000,211.24,211.27,211.13,211.13,11.63346,2019-11-27T00:52:00.000000Z
1574815980000,211.2,211.2,211.2,211.2,1.85,2019-11-27T00:53:00.000000Z
1574816040000,211.17,211.33,211.17,211.33,9.73537,2019-11-27T00:54:00.000000Z
1574816100000,211.3,211.4,211.19,211.39,52.1578,2019-11-27T00:55:00.000000Z
1574816160000,211.23,211.35,211.09,211.09,14.7828,2019-11-27T00:56:00.000000Z
1574816220000,211.12,211.24,211.1,211.24,9.81552,2019-11-27T00:57:00.000000Z
1574816280000,211.26,211.26,211.26,211.26,13.35151,2019-11-27T00:58:00.000000Z
1574816340000,211.26,211.26,211.26,211.26,1.16273,2019-11-27T00:59:00.000000Z
1574816400000,211.19,211.41,211.19,211.39,59.26528,2019-11-27T01:00:00.000000Z
1574816460000,211.39,211.8,211.36,211.8,184.95321,2019-11-27T01:01:00.000000Z
1574816520000,211.77,212.0,211.68,211.95,29.65943,2019-11-27T01:02:00.000000Z
1574816580000,211.87,212.02,211.84,211.97,31.54564,2019-11-27T01:03:00.000000Z
1574816640000,211.93,211.93,211.59,211.72,57.30465,2019-11-27T01:04:00.000000Z
1574816700000,211.7,212.04,211.7,212.0,50.64067,2019-11-27T01:05:00.000000Z
1574816760000,211.94,211.94,211.66,211.66,154.52396,2019-11-27T01:06:00.000000Z
1574816820000,211.81,212.1,211.81,211.87,38.52076,2019-11-27T01:07:00.000000Z
1574816880000,212.03,212.03,211.89,211.89,6.54818,2019-11-27T01:08:00.000000Z
1574816940000,211.91,211.94,211.88,211.9,5.97737,2019-11-27T01:09:00.000000Z
1574817000000,211.84,212.0,211.84,211.9,0.70815,2019-11-27T01:10:00.000000Z
1574817060000,211.94,211.98,211.93,211.97,18.22955,2019-11-27T01:11:00.000000Z
1574817120000,211.95,211.96,211.81,211.86,12.7742,2019-11-27T01:12:00.000000Z
