timestampe,open,high,low,close,volume,time
1574807760000,3.8611,3.8611,3.8611,3.8611,0.0,2019-11-26T22:36:00.000000Z
1574807820000,3.8575,3.8575,3.8575,3.8575,16.39,2019-11-26T22:37:00.000000Z
1574807880000,3.8562,3.8562,3.8562,3.8562,6.22,2019-11-26T22:38:00.000000Z
1574807940000,3.8611,3.8611,3.8611,3.8611,18.26,2019-11-26T22:39:00.000000Z
1574808000000,3.8642,3.8646,3.8628,3.8636,139.07,2019-11-26T22:40:00.000000Z
1574808060000,3.862,3.8641,3.862,3.8641,105.18,2019-11-26T22:41:00.000000Z
1574808120000,3.8641,3.8641,3.8641,3.8641,0.0,2019-11-26T22:42:00.000000Z
1574808180000,3.865,3.865,3.865,3.865,6.87,2019-11-26T22:43:00.000000Z
1574808240000,3.8597,3.8599,3.8597,3.8599,31.08,2019-11-26T22:44:00.000000Z
1574808300000,3.8656,3.8656,3.8656,3.8656,41.42,2019-11-26T22:45:00.000000Z
1574808360000,3.8656,3.8656,3.8656,3.8656,0.0,2019-11-26T22:46:00.000000Z
1574808420000,3.8656,3.8656,3.8656,3.8656,0.0,2019-11-26T22:47:00.000000Z
1574808480000,3.8656,3.8656,3.8656,3.8656,0.0,2019-11-26T22:48:00.000000Z
1574808540000,3.8656,3.8656,3.8656,3.8656,0.0,2019-11-26T22:49:00.000000Z
1574808600000,3.8656,3.8656,3.8656,3.8656,0.0,2019-11-26T22:50:00.000000Z
1574808660000,3.8656,3.8656,3.8656,3.8656,0.0,2019-11-26T22:51:00.000000Z
1574808720000,3.8656,3.8656,3.8656,3.8656,0.0,2019-11-26T22:52:00.000000Z
1574808780000,3.8656,3.8656,3.8656,3.8656,0.0,2019-11-26T22:53:00.000000Z
1574808840000,3.8656,3.8656,3.8656,3.8656,0.0,2019-11-26T22:54:00.000000Z
1574808900000,3.8656,3.8656,3.8656,3.8656,0.0,2019-11-26T22:55:00.000000Z
1574808960000,3.8679,3.8679,3.8679,3.8679,14.7,2019-11-26T22:56:00.000000Z
1574809020000,3.8679,3.8679,3.8679,3.8679,0.0,2019-11-26T22:57:00.000000Z
1574809080000,3.8651,3.8651,3.8651,3.8651,6.01,2019-11-26T22:58:00.000000Z
1574809140000,3.8651,3.8651,3.8651,3.8651,0.0,2019-11-26T22:59:00.000000Z
1574809200000,3.8651,3.8651,3.8651,3.8651,0.0,2019-11-26T23:00:00.000000Z
1574809260000,3.8697,3.8716,3.8697,3.8716,324.38,2019-11-26T23:01:00.000000Z
1574809320000,3.8716,3.8716,3.8716,3.8716,0.0,2019-11-26T23:02:00.000000Z
1574809380000,3.8716,3.8716,3.8716,3.8716,0.0,2019-11-26T23:03:00.000000Z
1574809440000,3.8716,3.8716,3.8716,3.8716,0.0,2019-11-26T23:04:00.000000Z
1574809500000,3.8716,3.8716,3.8716,3.8716,0.0,2019-11-26T23:05:00.000000Z
1574809560000,3.8716,3.8716,3.8716,3.8716,0.0,2019-11-26T23:06:00.000000Z
1574809620000,3.8716,3.8716,3.8716,3.8716,0.0,2019-11-26T23:07:00.000000Z
1574809680000,3.8716,3.8716,3.8716,3.8716,0.0,2019-11-26T23:08:00.000000Z
1574809740000,3.8728,3.8728,3.8685,3.8685,8.31,2019-11-26T23:09:00.000000Z
1574809800000,3.8689,3.8693,3.8624,3.8624,1128.54,2019-11-26T23:10:00.000000Z
1574809860000,3.8624,3.8665,3.8611,3.8646,812.23,2019-11-26T23:11:00.000000Z
1574809920000,3.8646,3.8646,3.8646,3.8646,0.0,2019-11-26T23:12:00.000000Z
1574809980000,3.8634,3.8667,3.8619,3.8667,64.77,2019-11-26T23:13:00.000000Z
1574810040000,3.8638,3.8651,3.8638,3.8651,159.69,2019-11-26T23:14:00.000000Z
1574810100000,3.8653,3.8654,3.8652,3.8654,119.34,2019-11-26T23:15:00.000000Z
1574810160000,3.8618,3.8618,3.8618,3.8618,37.86,2019-11-26T23:16:00.000000Z
1574810220000,3.8618,3.8618,3.8618,3.8618,0.0,2019-11-26T23:17:00.000000Z
1574810280000,3.8618,3.8618,3.8618,3.8618,0.0,2019-11-26T23:18:00.000000Z
1574810340000,3.8618,3.8618,3.8618,3.8618,0.0,2019-11-26T23:19:00.000000Z
1574810400000,3.858,3.858,3.858,3.858,100.0,2019-11-26T23:20:00.000000Z
1574810460000,3.8584,3.8613,3.8584,3.8613,158.59,2019-11-26T23:21:00.000000Z
1574810520000,3.8647,3.8647,3.8647,3.8647,6.86,2019-11-26T23:22:00.000000Z
1574810580000,3.8644,3.8644,3.8643,3.8643,42.86,2019-11-26T23:23:00.000000Z
1574810640000,3.8643,3.8643,3.8643,3.8643,0.0,2019-11-26T23:24:00.000000Z
1574810700000,3.8656,3.8656,3.8656,3.8656,9.41,2019-11-26T23:25:00.000000Z
1574810760000,3.8665,3.87,3.8665,3.87,116.39,2019-11-26T23:26:00.000000Z
1574810820000,3.8693,3.8693,3.8693,3.8693,100.0,2019-11-26T23:27:00.000000Z
1574810880000,3.8679,3.8731,3.8679,3.8731,414.64,2019-11-26T23:28:00.000000Z
