timestampe,open,high,low,close,volume,time
1574807760000,147.95,147.96,147.85,147.93,28.0129,2019-11-26T22:36:00.000000Z
1574807820000,147.91,147.97,147.87,147.97,40.3337,2019-11-26T22:37:00.000000Z
1574807880000,147.96,148.04,147.94,148.03,51.7114,2019-11-26T22:38:00.000000Z
1574807940000,148.0,148.15,147.98,148.09,128.22097,2019-11-26T22:39:00.000000Z
1574808000000,148.1,148.13,148.0,148.05,152.78128,2019-11-26T22:40:00.000000Z
1574808060000,148.08,148.1,148.0,148.02,131.17585,2019-11-26T22:41:00.000000Z
1574808120000,148.02,148.09,147.95,147.99,68.12863,2019-11-26T22:42:00.000000Z
1574808180000,147.98,147.99,147.91,147.96,33.33746,2019-11-26T22:43:00.000000Z
1574808240000,147.97,147.97,147.82,147.93,55.52633,2019-11-26T22:44:00.000000Z
1574808300000,147.95,148.09,147.92,148.0,49.59541,2019-11-26T22:45:00.000000Z
1574808360000,147.98,148.01,147.89,147.9,37.28153,2019-11-26T22:46:00.000000Z
1574808420000,147.93,147.96,147.88,147.89,36.59161,2019-11-26T22:47:00.000000Z
1574808480000,147.88,147.93,147.85,147.89,66.05693,2019-11-26T22:48:00.000000Z
1574808540000,147.87,147.93,147.85,147.88,77.74,2019-11-26T22:49:00.000000Z
1574808600000,147.88,147.92,147.82,147.85,26.74281,2019-11-26T22:50:00.000000Z
1574808660000,147.86,147.88,147.83,147.87,20.17841,2019-11-26T22:51:00.000000Z
1574808720000,147.88,147.9,147.77,147.78,61.69241,2019-11-26T22:52:00.000000Z
1574808780000,147.8,147.86,147.77,147.86,94.41231,2019-11-26T22:53:00.000000Z
1574808840000,147.84,147.86,147.81,147.85,13.22844,2019-11-26T22:54:00.000000Z
1574808900000,147.85,148.01,147.82,147.94,54.87445,2019-11-26T22:55:00.000000Z
1574808960000,147.96,148.0,147.9,147.9,45.5309,2019-11-26T22:56:00.000000Z
1574809020000,147.92,147.98,147.92,147.96,34.57079,2019-11-26T22:57:00.000000Z
1574809080000,147.96,147.98,147.93,147.93,102.76657,2019-11-26T22:58:00.000000Z
1574809140000,147.94,147.94,147.77,147.82,50.20364,2019-11-26T22:59:00.000000Z
1574809200000,147.81,147.86,147.77,147.81,48.93597,2019-11-26T23:00:00.000000Z
1574809260000,147.79,148.12,147.72,148.12,227.76438,2019-11-26T23:01:00.000000Z
1574809320000,148.07,148.22,148.05,148.16,134.51264,2019-11-26T23:02:00.000000Z
1574809380000,148.11,148.11,147.96,148.05,46.06717,2019-11-26T23:03:00.000000Z
1574809440000,148.04,148.08,147.98,148.07,87.07684,2019-11-26T23:04:00.000000Z
1574809500000,148.06,148.08,148.05,148.05,38.07626,2019-11-26T23:05:00.000000Z
1574809560000,148.07,148.14,148.05,148.14,11.35471,2019-11-26T23:06:00.000000Z
1574809620000,148.13,148.2,148.07,148.12,367.35607,2019-11-26T23:07:00.000000Z
1574809680000,148.1,148.17,147.96,147.99,37.85332,2019-11-26T23:08:00.000000Z
1574809740000,147.99,148.02,147.87,147.87,78.45182,2019-11-26T23:09:00.000000Z
1574809800000,147.87,147.9,147.7,147.7,38.87614,2019-11-26T23:10:00.000000Z
1574809860000,147.7,147.86,147.63,147.73,121.91855,2019-11-26T23:11:00.000000Z
1574809920000,147.73,147.73,147.54,147.54,32.53911,2019-11-26T23:12:00.000000Z
1574809980000,147.52,147.54,147.35,147.52,140.96587,2019-11-26T23:13:00.000000Z
1574810040000,147.5,147.52,147.4,147.43,39.39523,2019-11-26T23:14:00.000000Z
1574810100000,147.44,147.55,147.43,147.44,50.01295,2019-11-26T23:15:00.000000Z
1574810160000,147.44,147.5,147.34,147.48,116.05406,2019-11-26T23:16:00.000000Z
1574810220000,147.48,147.55,147.35,147.35,47.82725,2019-11-26T23:17:00.000000Z
1574810280000,147.35,147.35,147.0,147.18,418.61868,2019-11-26T23:18:00.000000Z
1574810340000,147.13,147.13,147.0,147.0,75.32976,2019-11-26T23:19:00.000000Z
1574810400000,147.0,147.13,147.0,147.12,44.61264,2019-11-26T23:20:00.000000Z
1574810460000,147.13,147.37,147.12,147.29,111.55859,2019-11-26T23:21:00.000000Z
