timestampe,open,high,low,close,volume,time
1574807760000,0.21939,0.21944,0.21933,0.21942,11859.1,2019-11-26T22:36:00.000000Z
1574807820000,0.21941,0.21945,0.21928,0.21942,3580.5,2019-11-26T22:37:00.000000Z
1574807880000,0.21942,0.21968,0.21942,0.21968,3115.8,2019-11-26T22:38:00.000000Z
1574807940000,0.21968,0.21996,0.21962,0.21978,4533.1,2019-11-26T22:39:00.000000Z
1574808000000,0.21994,0.22,0.21979,0.21985,25996.5,2019-11-26T22:40:00.000000Z
1574808060000,0.21989,0.21997,0.21986,0.21995,1779.0,2019-11-26T22:41:00.000000Z
1574808120000,0.21995,0.22,0.21992,0.21995,9926.3,2019-11-26T22:42:00.000000Z
1574808180000,0.21996,0.21999,0.21992,0.21998,2854.5,2019-11-26T22:43:00.000000Z
1574808240000,0.21998,0.22004,0.21979,0.21997,55208.1,2019-11-26T22:44:00.000000Z
1574808300000,0.21997,0.22018,0.21997,0.22013,50567.9,2019-11-26T22:45:00.000000Z
1574808360000,0.2201,0.22016,0.22001,0.22003,1578.2,2019-11-26T22:46:00.000000Z
1574808420000,0.22003,0.22008,0.21987,0.22003,40296.1,2019-11-26T22:47:00.000000Z
1574808480000,0.22001,0.22001,0.21984,0.22001,5341.0,2019-11-26T22:48:00.000000Z
1574808540000,0.22,0.22001,0.21999,0.22,960.6,2019-11-26T22:49:00.000000Z
1574808600000,0.22,0.22001,0.21997,0.22001,542.1,2019-11-26T22:50:00.000000Z
1574808660000,0.22001,0.22001,0.21992,0.21999,6021.1,2019-11-26T22:51:00.000000Z
1574808720000,0.21999,0.22,0.21984,0.21991,6598.2,2019-11-26T22:52:00.000000Z
1574808780000,0.21986,0.21997,0.21986,0.21996,2425.2,2019-11-26T22:53:00.000000Z
1574808840000,0.21996,0.21997,0.2199,0.2199,2179.7,2019-11-26T22:54:00.000000Z
1574808900000,0.21988,0.22018,0.21987,0.22017,55620.0,2019-11-26T22:55:00.000000Z
1574808960000,0.22004,0.22008,0.21989,0.22006,106233.7,2019-11-26T22:56:00.000000Z
1574809020000,0.22006,0.22017,0.22005,0.22015,8755.2,2019-11-26T22:57:00.000000Z
1574809080000,0.22015,0.22025,0.22007,0.22007,11553.3,2019-11-26T22:58:00.000000Z
1574809140000,0.22008,0.22024,0.21985,0.21996,18476.0,2019-11-26T22:59:00.000000Z
1574809200000,0.21998,0.22013,0.21991,0.22007,4170.5,2019-11-26T23:00:00.000000Z
1574809260000,0.22005,0.22022,0.22001,0.22021,9928.5,2019-11-26T23:01:00.000000Z
1574809320000,0.22025,0.22046,0.22025,0.22041,11789.0,2019-11-26T23:02:00.000000Z
1574809380000,0.2204,0.2204,0.22025,0.22025,4718.9,2019-11-26T23:03:00.000000Z
1574809440000,0.22027,0.22027,0.22027,0.22027,631.4,2019-11-26T23:04:00.000000Z
1574809500000,0.22027,0.22027,0.22025,0.22025,894.5,2019-11-26T23:05:00.000000Z
1574809560000,0.22025,0.22027,0.22022,0.22027,12492.4,2019-11-26T23:06:00.000000Z
1574809620000,0.2203,0.22047,0.2203,0.22047,15755.2,2019-11-26T23:07:00.000000Z
1574809680000,0.22042,0.22042,0.22024,0.22033,7919.5,2019-11-26T23:08:00.000000Z
1574809740000,0.22035,0.22046,0.22027,0.22032,15505.8,2019-11-26T23:09:00.000000Z
1574809800000,0.22029,0.22047,0.2201,0.2201,53233.5,2019-11-26T23:10:00.000000Z
1574809860000,0.2201,0.2201,0.21966,0.21987,249008.3,2019-11-26T23:11:00.000000Z
1574809920000,0.21992,0.21996,0.21986,0.21987,10866.6,2019-11-26T23:12:00.000000Z
1574809980000,0.21982,0.21983,0.21962,0.21969,11271.5,2019-11-26T23:13:00.000000Z
1574810040000,0.21975,0.21987,0.21971,0.21971,3596.0,2019-11-26T23:14:00.000000Z
1574810100000,0.21971,0.21989,0.21971,0.21977,4851.1,2019-11-26T23:15:00.000000Z
1574810160000,0.21973,0.21973,0.21965,0.21972,7087.0,2019-11-26T23:16:00.000000Z
1574810220000,0.21971,0.21971,0.21967,0.21969,1588.3,2019-11-26T23:17:00.000000Z
1574810280000,0.2197,0.21975,0.21958,0.21968,5363.8,2019-11-26T23:18:00.000000Z
1574810340000,0.2196,0.21971,0.21959,0.21971,3272.1,2019-11-26T23:19:00.000000Z
1574810400000,0.21963,0.21969,0.21954,0.21969,14417.5,2019-11-26T23:20:00.000000Z
1574810460000,0.21969,0.21984,0.21969,0.21982,10148.0,2019-11-26T23:21:00.000000Z
1574810520000,0.21979,0.21994,0.21979,0.21994,8048.9,2019-11-26T23:22:00.000000Z
1574810580000,0.21997,0.22004,0.21993,0.21996,2025.0,2019-11-26T23:23:00.000000Z
1574810640000,0.21993,0.22,0.21993,0.22,47630.0,2019-11-26T23:24:00.000000Z
1574810700000,0.22002,0.22004,0.21992,0.21997,27663.9,2019-11-26T23:25:00.000000Z
1574810760000,0.21997,0.22009,0.21997,0.21999,2760.2,2019-11-26T23:26:00.000000Z
1574810820000,0.21999,0.22016,0.21999,0.22006,21226.7,2019-11-26T23:27:00.000000Z
1574810880000,0.22013,0.22013,0.22006,0.22011,4028.8,2019-11-26T23:28:00.000000Z
1574810940000,0.22013,0.22019,0.21999,0.22006,8412.7,2019-11-26T23:29:00.000000Z
1574811000000,0.22009,0.22042,0.22009,0.22029,137526.7,2019-11-26T23:30:00.000000Z
1574811060000,0.2203,0.22038,0.21999,0.22014,183924.3,2019-11-26T23:31:00.000000Z
1574811120000,0.22005,0.22024,0.22005,0.22024,17351.1,2019-11-26T23:32:00.000000Z
1574811180000,0.22026,0.22032,0.22013,0.22022,14406.8,2019-11-26T23:33:00.000000Z
1574811240000,0.22017,0.2203,0.21971,0.21993,212475.9,2019-11-26T23:34:00.000000Z
1574811300000,0.21994,0.21995,0.21989,0.21989,12189.5,2019-11-26T23:35:00.000000Z
1574811360000,0.21994,0.22005,0.21986,0.21999,21239.7,2019-11-26T23:36:00.000000Z
1574811420000,0.22,0.22007,0.22,0.22006,15795.1,2019-11-26T23:37:00.000000Z
1574811480000,0.22006,0.22006,0.21999,0.22002,7809.3,2019-11-26T23:38:00.000000Z
1574811540000,0.22002,0.22005,0.21992,0.22005,10767.7,2019-11-26T23:39:00.000000Z
1574811600000,0.22005,0.22019,0.22005,0.22011,49023.1,2019-11-26T23:40:00.000000Z
1574811660000,0.22008,0.22035,0.22008,0.22026,45146.0,2019-11-26T23:41:00.000000Z
1574811720000,0.22023,0.22048,0.22023,0.22043,29959.4,2019-11-26T23:42:00.000000Z
1574811780000,0.22039,0.22054,0.22039,0.22047,40747.1,2019-11-26T23:43:00.000000Z
1574811840000,0.22047,0.22055,0.22035,0.22036,17029.0,2019-11-26T23:44:00.000000Z
1574811900000,0.22037,0.2205,0.22037,0.2205,2699.9,2019-11-26T23:45:00.000000Z
1574811960000,0.2205,0.22054,0.22048,0.22048,12502.3,2019-11-26T23:46:00.000000Z
1574812020000,0.2205,0.2207,0.22047,0.22065,90184.7,2019-11-26T23:47:00.000000Z
1574812080000,0.22065,0.22066,0.22049,0.22056,39004.6,2019-11-26T23:48:00.000000Z
1574812140000,0.22056,0.22062,0.22051,0.22062,12248.4,2019-11-26T23:49:00.000000Z
1574812200000,0.22062,0.22078,0.22052,0.22065,103202.9,2019-11-26T23:50:00.000000Z
1574812260000,0.22074,0.2208,0.22072,0.2208,63784.8,2019-11-26T23:51:00.000000Z
1574812320000,0.2208,0.2208,0.22076,0.22079,5693.8,2019-11-26T23:52:00.000000Z
1574812380000,0.22076,0.2208,0.22076,0.2208,7723.9,2019-11-26T23:53:00.000000Z
1574812440000,0.22079,0.2209,0.22077,0.2209,71797.9,2019-11-26T23:54:00.000000Z
1574812500000,0.2209,0.2209,0.22076,0.22076,49706.0,2019-11-26T23:55:00.000000Z
1574812560000,0.22077,0.22077,0.22062,0.2207,25979.5,2019-11-26T23:56:00.000000Z
1574812620000,0.22065,0.22065,0.22043,0.22047,22482.6,2019-11-26T23:57:00.000000Z
