timestampe,open,high,low,close,volume,time
1574777760000,2.5921,2.5937,2.5901,2.5921,18672.3964,2019-11-26T14:16:00.000000Z
1574777820000,2.5928,2.5988,2.5928,2.5981,16434.85368489735,2019-11-26T14:17:00.000000Z
1574777880000,2.5981,2.6037,2.5971,2.6037,18298.94421983464,2019-11-26T14:18:00.000000Z
1574777940000,2.6034,2.6074,2.5991,2.6008,38002.76456504205,2019-11-26T14:19:00.000000Z
1574778000000,2.6021,2.6022,2.5974,2.5974,41635.9136,2019-11-26T14:20:00.000000Z
1574778060000,2.5973,2.6016,2.5959,2.5986,80333.74194559501,2019-11-26T14:21:00.000000Z
1574778120000,2.5984,2.6009,2.5973,2.5977,11033.255407601215,2019-11-26T14:22:00.000000Z
1574778180000,2.5978,2.5983,2.5963,2.597,3487.1263802701974,2019-11-26T14:23:00.000000Z
1574778240000,2.597,2.5995,2.5955,2.5955,4344.21812182616,2019-11-26T14:24:00.000000Z
1574778300000,2.5963,2.599,2.5936,2.5938,37285.12553477575,2019-11-26T14:25:00.000000Z
1574778360000,2.5946,2.5984,2.5945,2.5975,39593.2753,2019-11-26T14:26:00.000000Z
1574778420000,2.5975,2.6033,2.5973,2.603,25028.2945,2019-11-26T14:27:00.000000Z
1574778480000,2.6032,2.6033,2.5999,2.6016,8248.4077,2019-11-26T14:28:00.000000Z
1574778540000,2.6016,2.6062,2.6003,2.6059,12692.6756,2019-11-26T14:29:00.000000Z
1574778600000,2.6052,2.6067,2.6,2.6001,5879.854065474818,2019-11-26T14:30:00.000000Z
1574778660000,2.6007,2.6023,2.6,2.6006,2194.4816767052225,2019-11-26T14:31:00.000000Z
1574778720000,2.6006,2.6023,2.5999,2.6007,3631.9425,2019-11-26T14:32:00.000000Z
1574778780000,2.6005,2.6005,2.596,2.596,17921.0294,2019-11-26T14:33:00.000000Z
1574778840000,2.596,2.5965,2.5944,2.5944,4930.6904,2019-11-26T14:34:00.000000Z
1574778900000,2.5949,2.5949,2.5915,2.592,6963.114202811821,2019-11-26T14:35:00.000000Z
1574778960000,2.5916,2.5917,2.5825,2.5833,21692.4166,2019-11-26T14:36:00.000000Z
1574779020000,2.5828,2.5843,2.5811,2.5843,41721.7379,2019-11-26T14:37:00.000000Z
1574779080000,2.5846,2.5848,2.5803,2.5838,31651.2471,2019-11-26T14:38:00.000000Z
1574779140000,2.5838,2.5868,2.5819,2.585,18562.6763,2019-11-26T14:39:00.000000Z
1574779200000,2.5861,2.5889,2.5859,2.5883,25031.623887535246,2019-11-26T14:40:00.000000Z
1574779260000,2.5872,2.5896,2.5868,2.5893,29700.5417,2019-11-26T14:41:00.000000Z
1574779320000,2.5895,2.59,2.5879,2.5883,3416.752081389652,2019-11-26T14:42:00.000000Z
1574779380000,2.5883,2.589,2.5862,2.5873,5999.967786621958,2019-11-26T14:43:00.000000Z
1574779440000,2.5875,2.5908,2.5865,2.5895,17203.444397077063,2019-11-26T14:44:00.000000Z
1574779500000,2.5896,2.5903,2.5885,2.5885,1352.6716,2019-11-26T14:45:00.000000Z
1574779560000,2.5886,2.5913,2.5886,2.5907,156.4192,2019-11-26T14:46:00.000000Z
1574779620000,2.5906,2.5993,2.5906,2.5979,6916.042717000693,2019-11-26T14:47:00.000000Z
