timestampe,open,high,low,close,volume,time
1574717760000,7151.7,7151.7,7151.6,7151.6,0.26179575,2019-11-25T21:36:00.000000Z
1574717820000,7151.6,7151.6,7150.9,7151.0,0.13119945,2019-11-25T21:37:00.000000Z
1574717880000,7151.0,7151.0,7150.9,7150.9,0.49060355,2019-11-25T21:38:00.000000Z
1574717940000,7151.0,7153.7,7151.0,7153.6,3.37407972,2019-11-25T21:39:00.000000Z
1574718000000,7153.6,7154.5,7153.6,7154.5,3.00683101,2019-11-25T21:40:00.000000Z
1574718060000,7154.5,7154.5,7152.7,7153.3,4.61099985,2019-11-25T21:41:00.000000Z
1574718120000,7153.3,7154.0,7153.2,7154.0,0.94061745,2019-11-25T21:42:00.000000Z
1574718180000,7154.0,7161.2,7153.9,7161.2,6.73177004,2019-11-25T21:43:00.000000Z
1574718240000,7162.6,7166.1,7162.6,7166.1,13.70055308,2019-11-25T21:44:00.000000Z
1574718300000,7167.4,7167.4,7165.3,7165.3,1.25531284,2019-11-25T21:45:00.000000Z
1574718360000,7165.3,7165.3,7164.6,7164.6,1.57564018,2019-11-25T21:46:00.000000Z
1574718420000,7164.6,7164.7,7164.5,7164.7,0.66629644,2019-11-25T21:47:00.000000Z
1574718480000,7164.6,7168.5,7164.6,7168.5,4.70901036,2019-11-25T21:48:00.000000Z
1574718540000,7168.3,7169.8,7168.3,7169.3,2.81479307,2019-11-25T21:49:00.000000Z
1574718600000,7169.8,7173.5,7169.8,7172.7,14.58342817,2019-11-25T21:50:00.000000Z
1574718660000,7172.8,7179.1,7172.8,7179.1,20.10294353,2019-11-25T21:51:00.000000Z
1574718720000,7179.3,7205.5,7179.3,7193.3,88.07264269,2019-11-25T21:52:00.000000Z
1574718780000,7193.3,7205.4,7186.7,7205.4,16.90464537,2019-11-25T21:53:00.000000Z
1574718840000,7204.0,7236.1,7197.1,7215.0,86.70267174,2019-11-25T21:54:00.000000Z
1574718900000,7216.5,7223.0,7204.9,7210.8,64.07418135,2019-11-25T21:55:00.000000Z
1574718960000,7212.4,7213.0,7205.3,7207.1,47.41152726,2019-11-25T21:56:00.000000Z
1574719020000,7205.5,7223.4,7202.6,7217.5,32.87515876,2019-11-25T21:57:00.000000Z
1574719080000,7217.5,7223.8,7204.4,7214.1,38.59610833,2019-11-25T21:58:00.000000Z
1574719140000,7213.7,7213.7,7193.5,7194.3,18.28506215,2019-11-25T21:59:00.000000Z
1574719200000,7195.9,7209.2,7190.5,7209.2,23.763522,2019-11-25T22:00:00.000000Z
1574719260000,7209.5,7209.6,7200.5,7202.3,25.91425029,2019-11-25T22:01:00.000000Z
1574719320000,7202.4,7208.8,7202.4,7206.2,27.31743439,2019-11-25T22:02:00.000000Z
1574719380000,7206.2,7214.1,7204.6,7214.1,8.52618837,2019-11-25T22:03:00.000000Z
1574719440000,7214.2,7215.6,7212.8,7212.8,2.10104377,2019-11-25T22:04:00.000000Z
1574719500000,7210.1,7211.3,7210.1,7211.3,7.47704762,2019-11-25T22:05:00.000000Z
1574719560000,7209.7,7220.3,7209.6,7219.7,2.43846633,2019-11-25T22:06:00.000000Z
1574719620000,7219.9,7219.9,7216.4,7218.2,15.55766496,2019-11-25T22:07:00.000000Z
