timestampe,open,high,low,close,volume,time
1574717760000,0.2192,0.2192,0.2192,0.2192,6.302,2019-11-25T21:36:00.000000Z
1574717820000,0.2193,0.2193,0.2193,0.2193,4.0,2019-11-25T21:37:00.000000Z
1574717880000,0.2193,0.2193,0.2192,0.2192,1522.456,2019-11-25T21:38:00.000000Z
1574717940000,0.2193,0.2193,0.2193,0.2193,352.764,2019-11-25T21:39:00.000000Z
1574718000000,0.2194,0.2195,0.2194,0.2195,2557.25,2019-11-25T21:40:00.000000Z
1574718060000,0.2195,0.2195,0.2195,0.2195,400.537,2019-11-25T21:41:00.000000Z
1574718120000,0.2195,0.2195,0.2193,0.2194,24326.913,2019-11-25T21:42:00.000000Z
1574718180000,0.2194,0.2195,0.2194,0.2195,19357.127,2019-11-25T21:43:00.000000Z
1574718240000,0.2196,0.2196,0.2195,0.2195,711.135,2019-11-25T21:44:00.000000Z
1574718300000,0.2195,0.2195,0.2195,0.2195,0.0,2019-11-25T21:45:00.000000Z
1574718360000,0.2196,0.2197,0.2196,0.2197,61.804,2019-11-25T21:46:00.000000Z
1574718420000,0.2196,0.2196,0.2196,0.2196,1066.87,2019-11-25T21:47:00.000000Z
1574718480000,0.2197,0.2199,0.2197,0.2198,64839.191,2019-11-25T21:48:00.000000Z
1574718540000,0.2199,0.22,0.2198,0.2199,4230.365,2019-11-25T21:49:00.000000Z
1574718600000,0.2199,0.22,0.2199,0.22,12048.748,2019-11-25T21:50:00.000000Z
1574718660000,0.22,0.2201,0.2199,0.2201,34283.223,2019-11-25T21:51:00.000000Z
1574718720000,0.2202,0.2206,0.2202,0.2202,148888.148,2019-11-25T21:52:00.000000Z
1574718780000,0.2202,0.2205,0.2202,0.2205,12547.994,2019-11-25T21:53:00.000000Z
1574718840000,0.2206,0.2209,0.2204,0.2204,75227.684,2019-11-25T21:54:00.000000Z
1574718900000,0.2205,0.2205,0.2201,0.2205,30856.865,2019-11-25T21:55:00.000000Z
1574718960000,0.2205,0.2206,0.2205,0.2205,23711.41,2019-11-25T21:56:00.000000Z
1574719020000,0.2204,0.2207,0.2204,0.2207,49069.334,2019-11-25T21:57:00.000000Z
